code,close,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87
stock102419,15.3,1.12,1.04,0.02,0.48,0.09,0.58,0.07,13.45,-2.33,2.57,-2.33,2.57,206.73,4.76,3.99,19.39,2.41,30.89,3.91,-0.24,-0.64,4.24,-0.11,7.06,1.53,1.39,-0.06,4.77,484711.57,4699472670.0,1.03,3.17,-6.36,-1.29,6.1,7.01,-0.0,0.06,-0.26,-0.35,-3.28,-0.29,48.19,37.48,35.67,1.82,1.15,1.15,1.2,1.35,1.84,1.73,1.79,1.65,1.72,2.87,-79491.66,-187303.89,50938769.61,61414922.12,1.41,1.65,1.59,1.7,1.72,0.44,2.1,0.9,49.14,40.86,0.6,24.74,1.34,0.06,-0.08,0.28,-0.04,0.57,1.53,9.0,81.08,0.48,0.67,0.95,4.08,16.68,2.62
stock100357,12.27,0.96,0.99,0.03,0.3,0.07,0.13,0.05,6.27,8.66,7.01,8.66,7.01,2.82,9.18,21.23,26.18,3.39,46.66,2.42,0.14,0.47,1.79,-0.19,-2.24,1.35,1.0,-4.31,4.25,360986.74,7804302200.0,0.46,1.55,-6.9,-4.74,-4.36,-6.77,-0.11,0.2,-0.28,-0.22,-1.84,-0.23,58.96,43.77,39.36,1.54,1.14,1.14,1.14,1.18,1.62,1.41,1.26,1.26,1.45,2.49,-101508.02,-202842.61,111375137.0,142916666.0,2.43,2.42,2.38,2.48,2.24,0.29,1.16,1.14,65.25,45.51,0.16,43.52,20.88,-0.01,0.4,5.79,0.4,0.13,0.08,4.2,17.67,0.08,0.14,0.03,4.2,17.67,4.35
stock101688,10.05,1.16,1.05,-0.04,0.29,0.07,0.22,-0.02,-35.74,-286.6,-12.66,-286.97,-12.48,1102.65,-12.83,-16.88,11.97,-9.37,13.87,-1.92,-18.84,-22.69,1.45,-13.66,-3.36,1.57,1.26,4.57,5.13,786940.89,3026111970.0,2.6,2.55,-8.14,-5.1,-2.9,43.37,0.14,0.01,-0.42,-0.31,-2.45,-0.39,47.02,37.31,34.87,2.17,1.19,1.19,1.21,1.78,2.08,2.06,1.99,2.01,2.43,3.16,-135439.34,-271747.59,100555084.0,137954385.0,1.25,1.26,1.34,1.75,1.73,0.33,2.98,2.49,23.54,25.29,0.56,0.64,3.57,-0.18,-0.25,0.08,0.11,0.33,1.27,8.9,79.21,0.23,0.87,1.18,4.0,16.0,2.19
stock103528,23.3,1.04,1.01,0.0,0.11,0.0,0.04,0.0,17.79,30.13,2.9,30.13,2.9,163.16,2.31,6.27,51.51,2.12,58.42,1.22,0.48,0.6,-1.96,0.45,2.0,1.52,1.16,-5.13,6.16,155100.03,373203064.0,4.16,12.74,-18.9,-15.58,-11.68,-5.52,-0.18,0.06,-0.22,-0.6,-3.49,-0.5,58.88,41.84,37.47,2.85,1.33,1.33,1.33,1.71,2.5,2.62,2.22,2.14,3.0,3.6,-75556.22,-154954.73,56729501.95,-4111291.58,2.55,2.54,2.36,4.25,3.89,-0.54,13.08,10.39,8.9,22.09,0.34,3.5,1.0,0.04,-3.35,0.12,-2.68,0.6,1.47,10.62,112.76,0.51,1.29,1.23,4.58,20.97,3.74
stock100469,15.47,1.12,1.04,0.03,0.42,0.04,1.21,0.15,7.62,290.81,105.03,270.62,83.33,-49.72,6.45,2.24,3.35,2.49,3.33,1.49,13.37,3.5,-1.76,3.84,-0.91,1.35,1.25,6.55,5.07,1784600.06,29297235000.0,0.61,1.23,14.17,28.7,26.8,59.32,0.21,0.14,-0.13,1.85,14.29,0.76,94.46,87.43,79.76,2.5,1.23,1.33,1.35,1.72,2.0,2.21,2.31,2.08,1.93,3.18,-189823.77,-441858.41,-101437276.0,-164606614.0,0.84,0.76,0.7,0.79,0.91,0.15,0.85,0.72,56.4,30.09,1.11,2.34,16.65,0.04,0.26,1.55,0.25,0.63,1.43,7.95,63.14,0.55,-0.77,0.95,3.79,14.36,1.24
stock103611,10.13,1.03,1.01,-0.02,0.57,0.05,0.96,0.07,-12.21,35.0,-3.81,35.0,-3.81,-36.97,-3.25,-1.93,13.42,-1.61,12.2,-2.43,1.56,0.68,2.82,0.87,3.04,1.51,1.22,0.68,4.84,688014.03,7976451940.0,0.86,1.79,8.69,13.31,11.56,38.96,0.02,-0.02,0.03,0.49,6.2,0.08,77.05,67.41,63.27,1.94,1.2,1.29,1.33,1.6,1.75,3.39,2.65,2.63,2.35,2.92,-270599.34,-586252.51,-36178901.49,-53538652.65,2.96,2.66,2.68,2.41,2.23,0.11,0.94,0.7,45.67,46.91,0.84,4.37,6.84,-0.12,-0.0,-0.25,0.05,0.1,1.34,8.89,79.0,0.02,-0.24,1.14,3.66,13.4,3.43
stock101312,10.76,1.15,1.05,0.02,0.3,0.01,0.2,0.04,7.38,235.71,6.27,235.71,6.27,-33.31,7.44,11.23,10.78,4.67,9.31,0.57,13.27,20.12,-2.26,8.32,2.15,1.36,1.33,3.04,4.72,688640.0,4377978640.0,1.57,0.25,3.36,8.69,9.91,7.17,0.09,0.12,-0.08,-0.05,-0.16,-0.34,39.81,44.15,49.53,2.12,1.11,1.15,1.16,1.24,1.89,2.22,1.86,1.82,1.86,2.89,-44722.34,-102779.63,25924039.47,23638712.1,0.69,0.69,0.65,0.65,0.73,0.09,1.8,1.64,36.82,36.77,0.42,4.25,7.7,0.01,0.33,2.63,0.32,0.76,1.52,9.83,96.55,0.67,0.48,1.26,4.0,16.03,1.18
stock101761,11.69,0.99,1.0,0.01,0.16,-0.0,0.1,0.02,-16.62,-20.96,5.31,-73.65,-64.9,-104.6,7.53,11.65,13.41,2.96,25.27,-0.41,-2.5,-0.64,3.15,-1.98,-0.48,1.35,1.12,-1.58,4.64,407969.71,2132697620.0,1.91,0.9,2.19,0.17,-1.85,6.27,-0.04,-0.01,-0.25,-0.07,0.67,-0.08,61.31,54.2,50.28,1.95,1.12,1.12,1.14,1.28,1.65,1.91,1.58,1.62,1.99,2.77,-140793.17,-240524.55,56055268.92,121669690.0,3.32,2.83,2.82,2.92,3.44,0.1,1.29,0.2,61.67,8.34,0.25,15.31,0.37,-0.15,-0.59,-0.19,-0.24,0.3,1.38,8.28,68.61,0.58,0.35,1.09,3.59,12.9,5.53
stock100731,11.74,0.89,0.96,0.02,0.38,0.04,0.11,0.03,117.59,129.65,212.51,23.76,68.41,-46.91,6.38,21.73,12.63,4.07,34.94,1.5,-2.3,1.14,-11.21,0.67,1.78,1.4,1.19,4.53,5.51,2829822.31,39342234700.0,0.72,5.2,-13.29,-23.67,-23.62,42.82,0.15,0.16,-0.26,-0.28,-0.85,-0.31,56.32,45.31,40.32,2.73,1.29,1.34,1.52,2.32,3.06,3.03,2.43,2.76,3.64,3.41,-2350084.69,-5166718.31,-385557675.0,-591803729.0,4.6,4.8,6.06,7.64,4.89,0.22,3.69,3.4,43.45,23.65,0.19,24.63,1.9,0.02,1.3,-0.27,1.25,0.51,1.17,9.3,86.51,0.42,1.39,1.01,3.9,15.21,4.94
stock102398,10.22,1.16,1.05,0.03,0.33,0.1,1.09,0.06,-0.48,9.0,9.93,9.0,9.93,476.49,10.71,3.2,6.55,5.13,10.12,2.81,-0.09,0.28,0.32,-0.26,1.2,1.46,1.3,-2.35,5.47,2223793.9,15715320600.0,1.42,2.19,-12.72,-12.2,-3.95,-8.26,-0.08,-0.13,-0.26,-0.09,2.05,-0.14,70.76,59.04,51.67,2.47,1.16,1.18,1.28,1.33,1.89,1.25,1.46,2.26,2.75,3.25,-68109.26,-198437.39,96803896.72,203764929.0,0.25,0.33,0.48,0.53,0.46,0.08,1.57,1.18,53.98,12.15,1.6,0.96,6.74,-0.24,0.04,-2.73,0.03,-0.35,1.45,8.03,64.56,-0.44,0.12,0.77,3.88,15.03,0.59
